Order,Family,Species Name,1980 GAA2 Red List Category,2004 GAA2 Red List Category,1980-2004 Genuine Change?,1980-2004 Primary Driver,Grouped 1980-2004 Primary Driver,1980-2004 Genuine downlisting due to conservation,2022 GAA2 Red List Category,2022 Red List Criteria,2004-2022 Genuine Change?, 2004-2022 Primary Driver,Grouped 2004-2022 Primary Driver,2004-2022 Genuine downlisting due to conservation,Afrotropical,Australasian/Oceanian,Indomalayan,Nearctic,Neotropical,Palearctic,Egg Laying,Free Living Larval Stage,Live Birth ,Water Breeding
ANURA,RANIDAE,Abavorana luctuosa,LC,LC,No,,,,LC,,No,,,,,,1,,,,Yes,Yes,No,Yes
ANURA,RANIDAE,Abavorana nazgul,CR,CR,No,,,,CR,B1ab(iii),No,,,,,,1,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Acanthixalus sonjae,VU,VU,No,,,,VU,B2ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Acanthixalus spinosus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,No
ANURA,HYLIDAE,Acris blanchardi,LC,LC,No,,,,LC,,No,,,,,,,1,,,Yes,Yes,No,Yes
ANURA,HYLIDAE,Acris crepitans,LC,LC,No,,,,LC,,No,,,,,,,1,,,Yes,Yes,No,Yes
ANURA,HYLIDAE,Acris gryllus,LC,LC,No,,,,LC,,No,,,,,,,1,,,Yes,Yes,No,Yes
ANURA,MICROHYLIDAE,Adelastes hylonomos,LC,LC,No,,,,LC,,No,,,,,,,,1,,Unknown,Unknown,Unknown,Unknown
ANURA,ELEUTHERODACTYLIDAE,Adelophryne adiastola,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne amapaensis,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne baturitensis,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne glandulata,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne gutturosa,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne maranguapensis,CR,CR,No,,,,CR,B1ab(iii)+2ab(iii),No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne meridionalis,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne michelin,CR,CR,No,,,,CR,"B1ab(ii,iii)",No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne mucronata,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne pachydactyla,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,ELEUTHERODACTYLIDAE,Adelophryne patamona,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LIMNODYNASTIDAE,Adelotus brevis,LC,NT,Genuine - uplisted,Disease,Disease,,LC,,Genuine - downlisted,Disease,Disease,,,1,,,,,Yes,Yes,No,Yes
ANURA,DENDROBATIDAE,Adelphobates castaneoticus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,DENDROBATIDAE,Adelphobates galactonotus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,DENDROBATIDAE,Adelphobates quinquevittatus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,LEPTODACTYLIDAE,Adenomera ajurauna,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera amicorum,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera andreae,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera araucaria,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera aurantiaca,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera bokermanni,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,LEPTODACTYLIDAE,Adenomera chicomendesi,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera coca,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera cotuba,LC,LC,No,,,,NT,A3c,Genuine - uplisted,Agriculture and aquaculture,Reduced-habitat,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera diptyx,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,LEPTODACTYLIDAE,Adenomera engelsi,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera glauciae,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera gridipappi,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera heyeri,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera hylaedactyla,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera inopinata,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera juikitam,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera kayapo,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera kweti,NT,EN,Genuine - uplisted,Infrastructure development,Reduced-habitat,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera lutzi,LC,NT,Genuine - uplisted,Mining/Energy production,Reduced-habitat,,EN,B1ab(iii),Genuine - uplisted,Mining/Energy production,Reduced-habitat,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera marmorata,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera martinezi,NT,NT,No,,,,NT,B1ab(iii),No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera nana,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera phonotriccus,LC,CR,Genuine - uplisted,Agriculture and aquaculture,Reduced-habitat,,CR,"B1ab(i,ii,iii)",No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera saci,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,LEPTODACTYLIDAE,Adenomera simonstuarti,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,LEPTODACTYLIDAE,Adenomera tapajonica,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,LEPTODACTYLIDAE,Adenomera thomei,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,BUFONIDAE,Adenomus kandianus,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,1,,,,Yes,Yes,No,Yes
ANURA,BUFONIDAE,Adenomus kelaartii,VU,VU,No,,,,VU,B1ab(iii),No,,,,,,1,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus aureus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus brachycnemis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus clarkei,EN,EN,No,,,,EN,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus crotalus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus delicatus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus dorsalis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus dorsimaculatus,EN,EN,No,,,,EN,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus enseticola,VU,VU,No,,,,VU,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus equatorialis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus fornasini,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus fulvovittatus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus knysnae,EN,EN,No,,,,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus lacteus,EN,EN,No,,,,EN,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus laevis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus leucostictus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus lindholmi,DD,DD,No,,,,DD,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus morerei,VU,VU,No,,,,VU,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus nigeriensis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus orophilus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus osorioi,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus paradorsalis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus quadrivittatus,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus schneideri,DD,DD,No,,,,DD,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus septentrionalis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus spinifrons,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus stuhlmanni,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus sylvaticus,VU,VU,No,,,,VU,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus uluguruensis,VU,VU,No,,,,VU,B2ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus upembae,DD,DD,No,,,,DD,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus vibekensis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus vittiger,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus weidholzi,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,HYPEROLIIDAE,Afrixalus wittei,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis annae,NT,EN,Genuine - uplisted,Disease,Disease,,VU,B1ab(iii),Genuine - downlisted,Disease,Disease,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis buckleyi,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis callidryas,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis dacnicolor,LC,LC,No,,,,LC,,No,,,,,,,1,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis danieli,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis hulli,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis lemur,LC,CR,Genuine - uplisted,Disease,Disease,,CR,A2ace,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis medinae,EN,EN,No,,,,EN,"B1ab(iii,v)",No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis moreletii,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis psilopygion,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis saltator,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis spurrelli,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,PHYLLOMEDUSIDAE,Agalychnis terranova,NT,NT,No,,,,NT,"B1ab(iii,iv)",No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,MANTELLIDAE,Aglyptodactylus australis,EN,EN,No,,,,EN,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,MANTELLIDAE,Aglyptodactylus chorus,NT,NT,No,,,,NT,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,MANTELLIDAE,Aglyptodactylus inguinalis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,MANTELLIDAE,Aglyptodactylus laticeps,VU,VU,No,,,,VU,B1ab(iii),No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,MANTELLIDAE,Aglyptodactylus madagascariensis,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,MANTELLIDAE,Aglyptodactylus securifer,LC,LC,No,,,,LC,,No,,,,1,,,,,,Yes,Yes,No,Yes
ANURA,CERATOBATRACHIDAE,Alcalus baluensis,LC,LC,No,,,,LC,,No,,,,,,1,,,,Yes,No,No,No
ANURA,CERATOBATRACHIDAE,Alcalus mariae,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,1,,,,Yes,No,No,No
ANURA,CERATOBATRACHIDAE,Alcalus rajae,NT,NT,No,,,,NT,B1ab(iii),No,,,,,,1,,,,Yes,Unknown,No,Unknown
ANURA,CERATOBATRACHIDAE,Alcalus sariba,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,1,,,,Yes,Yes,No,No
ANURA,CERATOBATRACHIDAE,Alcalus tasanae,LC,LC,No,,,,LC,,No,,,,,,1,,,,Yes,Unknown,No,Unknown
ANURA,AROMOBATIDAE,Allobates algorei,NT,NT,No,,,,NT,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates amissibilis,LC,VU,Genuine - uplisted,Human disturbance,Reduced-habitat,,VU,D2,No,,,,,,,1,,,Unknown,Unknown,Unknown,Unknown
ANURA,AROMOBATIDAE,Allobates bacurau,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates bromelicola,VU,VU,No,,,,VU,D2,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates brunneus,VU,EN,Genuine - uplisted,Water management,Reduced-habitat,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates caeruleodactylus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates carajas,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates caribe,CR,CR,No,,,,CR,"B1ab(iii,v)",No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates chalcopis,VU,VU,No,,,,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Genuine - uplisted,Climate change effects,Climate change effects,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates conspicuus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates crombiei,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates femoralis,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates flaviventris,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates fratisenescus,VU,VU,No,,,,VU,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates fuscellus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates gasconi,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates goianus,LC,LC,No,,,,NT,A4c,Genuine - uplisted,Agriculture and aquaculture,Reduced-habitat,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates granti,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,No
ANURA,AROMOBATIDAE,Allobates grillisimilis,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates hodli,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates humilis,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates ignotus,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates insperatus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates juami,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates juanii,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates kingsburyi,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates magnussoni,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates mandelorum,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates marchesianus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates masniger,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates mcdiarmidi,NT,CR,Genuine - uplisted,Disease,Disease,,CR(PE),C2a(i),Genuine - uplisted,Disease,Disease,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates melanolaemus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates myersi,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates nidicola,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,AROMOBATIDAE,Allobates niputidea,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,No,No,No
ANURA,AROMOBATIDAE,Allobates nunciatus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates olfersioides,VU,LC,Genuine - downlisted,Disease,Disease,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates ornatus,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Unknown,No,Unknown
ANURA,AROMOBATIDAE,Allobates pacaas,LC,LC,No,,,,VU,D2,Genuine - uplisted,Climate change effects,Climate change effects,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates paleovarzensis,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates peruvianus,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates pittieri,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates ranoides,CR,CR(PE),Genuine - uplisted,Disease,Disease,,CR(PE),D,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates sanmartini,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates subfolionidificans,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates sumtuosus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates talamancae,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates tapajos,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates tinae,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates trilineatus,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates undulatus,LC,LC,No,,,,VU,D2,Genuine - uplisted,Climate change effects,Climate change effects,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates vanzolinius,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates velocicantus,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates wayuu,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,AROMOBATIDAE,Allobates zaparo,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,DICROGLOSSIDAE,Allopaa barmoachensis,VU,VU,No,,,,VU,B1ab(iii),No,,,,,,1,,,,Yes,Yes,No,Yes
ANURA,DICROGLOSSIDAE,Allopaa hazarensis,LC,LC,No,,,,LC,,No,,,,,,1,,,1,Yes,Yes,No,Yes
ANURA,ALLOPHRYNIDAE,Allophryne relicta,NT,EN,Genuine - uplisted,Agriculture and aquaculture,Reduced-habitat,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALLOPHRYNIDAE,Allophryne resplendens,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALLOPHRYNIDAE,Allophryne ruthveni,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes australis,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes barrioi,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes cantillanensis,CR,CR,No,,,,CR,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes coppingeri,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes gargola,LC,LC,No,,,,LC,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes hugoi,VU,VU,No,,,,VU,D2,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes igneus,VU,VU,No,,,,VU,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes kaweshkari,DD,DD,No,,,,DD,,No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes montanus,VU,VU,No,,,,VU,"B1ab(ii,iii)",No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes monticola,DD,DD,No,,,,DD,,No,,,,,,,,1,,Unknown,Unknown,Unknown,Unknown
ANURA,ALSODIDAE,Alsodes neuquensis,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes nodosus,NT,NT,No,,,,NT,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes norae,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes pehuenche,VU,VU,No,,,,CR,"B1ab(ii,iii,iv,v)",Genuine - uplisted,Infrastructure development,Reduced-habitat,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes tumultuosus,VU,VU,No,,,,VU,"B1ab(i,iii)",No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes valdiviensis,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes vanzolinii,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
ANURA,ALSODIDAE,Alsodes verrucosus,EN,EN,No,,,,EN,B1ab(iii),No,,,,,,,,1,,Yes,Yes,No,Yes
